SiteID,SiteId_DC,FieldDate,FieldTime,co2ppm,ch4ppm,wt.x,ph,ch4c_µgl,hco3_moll,dic_mgl,pco2_µatm,co2c_mgl,Timestamp,Date,date,month_day,wt.y,wt_filled,,SampleID
59,DC2,2020-12-01,1899-12-31 10:55:00,1288.80733,NA,NA,4.61,NA,1.10752683315835e-08,2.706573029,NA,NA,2020-12-01 10:55,2020-12-01,2020-12-01,01-Dec,NA,2,,DC2 2020-12-01
59,DC2,2024-05-15,1899-12-31 11:39:00,910,NA,NA,4.73,NA,7.82001618684666e-09,1.911054817,NA,NA,2024-05-15 11:39,2024-05-15,2024-05-15,15-May,7.19575,7.19575,,DC2 2024-05-15
59,DC2,2020-05-05,1899-12-31 10:31:00,956.0586737,NA,NA,4.58,NA,8.21581791667411e-09,2.007780807,NA,NA,2020-05-05 10:31,2020-05-05,2020-05-05,05-May,NA,2,,DC2 2020-05-05
59,DC2,2022-08-04,1899-12-31 10:19:00,1182,0.98,NA,4.73,2.077664193,1.01574276185195e-08,2.482271202,NA,NA,2022-08-04 10:19,2022-08-04,2022-08-04,04-Aug,12.16052083,12.16052083,,DC2 2022-08-04
59,DC2,2022-05-23,1899-12-31 10:29:00,953,NA,NA,4.85,NA,8.18953343523612e-09,2.001357408,NA,NA,2022-05-23 10:29,2022-05-23,2022-05-23,23-May,5.60828125,5.60828125,,DC2 2022-05-23
59,DC2,2021-08-03,1899-12-31 09:25:00,1352.718141,1.123979981,NA,4.56,2.382911184,1.16244810494628e-08,2.840789581,NA,NA,2021-08-03 09:25,2021-08-03,2021-08-03,03-Aug,12.36458333,12.36458333,,DC2 2021-08-03
59,DC2,2021-02-17,1899-12-31 10:34:00,982.4975977,NA,NA,4.88,NA,8.4430188101557e-09,2.06330414,NA,NA,2021-02-17 10:34,2021-02-17,2021-02-17,17-Feb,NA,2,,DC2 2021-02-17
59,DC2,2021-04-13,1899-12-31 13:51:00,1277.296619,NA,NA,4.75,NA,1.09763519036549e-08,2.682399842,NA,NA,2021-04-13 13:51,2021-04-13,2021-04-13,13-Apr,NA,2,,DC2 2021-04-13
60,DC3,2021-04-27,1899-12-31 15:04:00,729.4662169,NA,NA,4.88,NA,6.26861277340198e-09,1.531922998,NA,NA,2021-04-27 15:04,2021-04-27,2021-04-27,27-Apr,NA,2,,DC3 2021-04-27
60,DC3,2020-10-07,1899-12-31 13:02:00,1489.593549,NA,NA,4.6,NA,1.28007095231678e-08,3.128236185,NA,NA,2020-10-07 13:02,2020-10-07,2020-10-07,07-Oct,8.714708333,8.714708333,,DC3 2020-10-07
60,DC3,2020-04-30,NA,595.1357143,NA,NA,5,NA,5.11425375727197e-09,1.24982085,NA,NA,2020-04-30,2020-04-30,2020-04-30,30-Apr,NA,2,,DC3 2020-04-30
